Asset,Exchange,LastPrice,RSI_14,SMA_20,SMA_50,SMA_200,ATR%_W,MovingAveragesRating,OscillatorsRating,VolatilityRating,LastDate
BAKEUSDPERP,PhemexFutures,0.2411,49.866895,0.23574,0.259452,,0.258519,,BEARISH,MEDIUM,29.09.2022
KSMUSDPERP,PhemexFutures,43.03,45.000731,43.986,48.1784,85.9572,0.399014,STRONG_DOWN_TREND,BEARISH,HIGH,29.09.2022
GTCUSDPERP,PhemexFutures,1.784,39.319955,1.92025,2.2635,,0.344891,DOWN_TREND,BEARISH,HIGH,29.09.2022
CVXUSDPERP,PhemexFutures,4.93,48.127858,4.8995,5.3474,,0.296178,,BEARISH,MEDIUM,29.09.2022
AGLDUSDPERP,PhemexFutures,0.3235,41.896194,0.34649,0.373302,,0.333054,DOWN_TREND,BEARISH,HIGH,29.09.2022
BITUSDPERP,PhemexFutures,0.473,37.284281,0.519,0.55268,,0.248792,DOWN_TREND,BEARISH,MEDIUM,29.09.2022
100RVNUSDPERP,PhemexFutures,3.606,43.784513,4.62785,3.87064,,0.331486,DOWN_TREND,BEARISH,HIGH,29.09.2022
SKLUSDPERP,PhemexFutures,0.0392,40.82668,0.041025,0.04874,,0.423154,DOWN_TREND,BEARISH,HIGH,29.09.2022
EOSUSDPERP,PhemexFutures,1.203,41.907414,1.34535,1.43792,1.569755,0.287956,STRONG_DOWN_TREND,BEARISH,MEDIUM,29.09.2022
ETHUSDPERP,PhemexFutures,1334.55,40.704433,1435.92,1577.461,1971.98825,0.258834,STRONG_DOWN_TREND,BEARISH,MEDIUM,29.09.2022
OPUSDPERP,PhemexFutures,0.9054,37.869684,1.043985,1.167164,,0.449121,DOWN_TREND,BEARISH,HIGH,29.09.2022
ILVUSDPERP,PhemexFutures,57.4,34.608418,62.5,78.42,,0.507434,DOWN_TREND,BEARISH,HIGH,29.09.2022
BALUSDPERP,PhemexFutures,5.335,39.054579,5.868,6.3537,,0.309509,DOWN_TREND,BEARISH,HIGH,29.09.2022
HNTUSDPERP,PhemexFutures,5.026,51.28404,4.68585,,,0.347369,,BULLISH,HIGH,29.09.2022
STGUSDPERP,PhemexFutures,0.522,33.566746,0.574935,,,0.316771,,BEARISH,HIGH,29.09.2022
1INCHUSDT,OkxSpot,0.5828,42.29503,0.60301,0.665414,0.951599,0.320546,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
