ticker,exchange,imb_date,imb_price,time_frame,trading_strategy,detail,trader,date
SKLUSDPERP,PhemexFutures,2022-10-18 00:00:00,0.03613,4h,Bounce from rotation,https://www.tradingview.com/x/dwRA5T7d/,Jirka,2022-10-25
OGNUSDPERP,PhemexFutures,2022-10-08 00:00:00,0.1499,D,Bounce from rotation,https://www.tradingview.com/x/jaXQYYlA/,Jirka,2022-10-26
API3USDPERP,PhemexFutures,2022-09-12 00:00:00,1.79,D,Bounce from rotation,https://www.tradingview.com/x/hajPyJEQ/,Jirka,2022-10-26
ALGOUSDPERP,PhemexFutures,2022-10-05 00:00:00,0.3543,D,Bounce from rotation,https://www.tradingview.com/x/Mwur4kx9/,Jirka,2022-10-26
ENSUSDPERP,PhemexFutures,2022-10-17 00:00:00,19.54,D,Bounce from rotation,https://www.tradingview.com/x/fgfoned5/,Jirka,2022-10-26
TRXUSDPERP,PhemexFutures,2022-08-17 00:00:00,0.06886,D,Bounce from rotation,https://www.tradingview.com/x/Uq1NyWIz/,Jirka,2022-10-26
BNBUSDPERP,PhemexFutures,2022-08-16 00:00:00,317.6,D,Bounce from rotation,https://www.tradingview.com/x/gPwoGvmt/,Jirka,2022-10-26
BCHUSDPERP,PhemexFutures,2022-09-10 00:00:00,126.6,D,Bounce from rotation,https://www.tradingview.com/x/zNn3R08x/,Jirka,2022-10-26
